Open,High,Low,Close,Volume,Time,Base Value
0.23963,0.23963,0.2385,0.2386,5207.93055144,2020-10-31T05:00:00,1244.4394196
0.2382,0.2382,0.2375,0.2382,151.18672202,2020-10-31T06:00:00,35.95275448
0.2382,0.2382,0.2382,0.2382,0.0,2020-10-31T07:00:00,0.0
0.23873,0.2414,0.23873,0.2409,170692.79405559,2020-10-31T08:00:00,41030.30678549
0.2415,0.242,0.24054,0.242,6569.50408162,2020-10-31T09:00:00,1583.6463444
0.24262,0.243,0.23975,0.24168,18206.68118885,2020-10-31T10:00:00,4410.5211835
0.24223,0.2425,0.2422,0.2425,3375.47150315,2020-10-31T11:00:00,817.58883646
0.24321,0.2434,0.2428,0.2428,169.71951137,2020-10-31T12:00:00,41.26880576
0.24281,0.24349,0.24281,0.24282,2430.60514923,2020-10-31T13:00:00,590.60918025
0.24282,0.24282,0.24138,0.24138,25675.78422474,2020-10-31T14:00:00,6218.24071712
0.24176,0.24198,0.24107,0.24187,31848.6686196,2020-10-31T15:00:00,7691.51111291
0.24106,0.24106,0.24047,0.24047,31875.0401889,2020-10-31T16:00:00,7682.07425329
0.24064,0.24064,0.2401,0.24015,41251.31333105,2020-10-31T17:00:00,9909.62843121
0.2397,0.2397,0.23909,0.23914,7965.675377,2020-10-31T18:00:00,1905.75535158
0.23922,0.24054,0.23913,0.24054,5072.25113133,2020-10-31T19:00:00,1215.03499544
0.24068,0.24166,0.24019,0.24166,5933.13306423,2020-10-31T20:00:00,1432.90244176
0.24033,0.24048,0.2399,0.24,33973.34741738,2020-10-31T21:00:00,8156.95915672
0.24,0.24,0.24,0.24,0.0,2020-10-31T22:00:00,0.0
0.2407,0.2407,0.2407,0.2407,491.62345459,2020-10-31T23:00:00,118.33376551
0.2397,0.24166,0.23853,0.23853,10914.90319722,2020-11-01T00:00:00,2619.8577056
0.23951,0.23951,0.23951,0.23951,500.0,2020-11-01T01:00:00,119.755
0.23951,0.23951,0.23951,0.23951,0.0,2020-11-01T02:00:00,0.0
0.239,0.239,0.23865,0.23865,5045.02853162,2020-11-01T03:00:00,1204.06519141
0.2385,0.23889,0.2382,0.23889,4792.77410831,2020-11-01T04:00:00,1143.22798468
0.23991,0.24,0.23974,0.23974,4580.35498816,2020-11-01T05:00:00,1098.87198709
0.23949,0.23949,0.23949,0.23949,3336.36623756,2020-11-01T06:00:00,799.02635023
0.23988,0.24,0.23988,0.24,36980.19078555,2020-11-01T07:00:00,8875.03473813
0.23921,0.23942,0.23921,0.2394,182.88532585,2020-11-01T08:00:00,43.77897354
0.2392,0.2392,0.23811,0.23811,1177.57641272,2020-11-01T09:00:00,281.3510996
0.23811,0.23811,0.23811,0.23811,0.0,2020-11-01T10:00:00,0.0
0.23953,0.23953,0.23833,0.23833,943.13,2020-11-01T11:00:00,225.2227289
0.23918,0.24,0.2367,0.23841,20842.54461269,2020-11-01T12:00:00,4979.13835797
