Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605207600,456.83,457.75,455.45,457.49,456.33,1158.02810590,468,2020-11-12,19:00:00
1605211200,457.49,459.54,456.65,457.96,458.19,1547.18673837,465,2020-11-12,20:00:00
1605214800,457.96,463.10,457.96,463.10,460.97,2170.92003427,625,2020-11-12,21:00:00
1605218400,463.11,465.00,461.74,462.34,463.64,2478.23947292,691,2020-11-12,22:00:00
1605222000,462.78,463.99,461.37,462.86,462.76,775.51689339,257,2020-11-12,23:00:00
1605225600,463.11,466.81,461.83,464.15,464.59,4336.99220561,1168,2020-11-13,00:00:00
1605229200,464.25,467.54,464.04,465.51,466.00,1731.15059946,368,2020-11-13,01:00:00
1605232800,465.55,466.14,462.98,464.15,464.06,1665.74318804,422,2020-11-13,02:00:00
1605236400,464.16,465.46,463.27,464.90,464.54,1117.02424149,184,2020-11-13,03:00:00
1605240000,464.78,465.54,462.81,463.75,464.08,1504.31829790,282,2020-11-13,04:00:00
1605243600,463.74,463.74,459.90,461.19,461.29,2222.49836544,779,2020-11-13,05:00:00
1605247200,461.13,462.40,460.15,462.00,461.50,756.02739325,432,2020-11-13,06:00:00
1605250800,462.00,462.00,458.00,461.32,460.20,1734.89036722,480,2020-11-13,07:00:00
1605254400,461.32,465.99,458.63,465.00,461.78,1910.12111077,533,2020-11-13,08:00:00
1605258000,465.00,469.00,465.00,467.65,467.28,2197.24190528,747,2020-11-13,09:00:00
1605261600,467.65,467.75,461.75,463.72,464.28,3013.52058501,664,2020-11-13,10:00:00
1605265200,463.55,465.26,461.82,464.65,463.73,877.05778596,438,2020-11-13,11:00:00
1605268800,464.75,467.99,463.57,465.86,465.97,1195.20310524,529,2020-11-13,12:00:00
1605272400,465.98,473.00,465.15,471.73,469.52,14458.73464716,1473,2020-11-13,13:00:00
1605276000,471.73,474.00,468.60,472.65,472.08,7157.93706306,1088,2020-11-13,14:00:00
1605279600,472.65,473.17,468.50,469.53,470.04,3679.00203417,754,2020-11-13,15:00:00
1605283200,469.86,472.20,465.17,469.88,468.66,3991.69652346,882,2020-11-13,16:00:00
1605286800,469.88,471.61,467.17,471.61,469.69,1908.87116969,444,2020-11-13,17:00:00
1605290400,471.61,472.93,471.13,472.39,471.91,1469.91237202,496,2020-11-13,18:00:00
1605294000,472.50,475.00,472.29,474.12,473.38,5591.85935516,828,2020-11-13,19:00:00
1605297600,474.00,474.00,470.13,470.41,471.72,2549.40695720,584,2020-11-13,20:00:00
1605301200,470.40,472.66,470.12,472.28,471.47,1352.02644972,387,2020-11-13,21:00:00
1605304800,472.29,478.48,472.27,477.02,476.02,7371.72557936,1202,2020-11-13,22:00:00
1605308400,477.03,477.87,475.00,477.06,476.74,1789.07663689,560,2020-11-13,23:00:00
1605312000,477.26,477.98,472.45,474.44,474.77,1878.05347272,789,2020-11-14,00:00:00
1605315600,474.50,474.50,471.46,471.47,472.61,1086.44587886,406,2020-11-14,01:00:00
1605319200,471.60,472.96,469.40,471.21,471.03,2729.21462491,514,2020-11-14,02:00:00
1605322800,470.51,472.55,470.15,472.10,471.31,672.88417437,247,2020-11-14,03:00:00
1605326400,472.05,472.05,466.79,469.09,469.62,2530.33926587,553,2020-11-14,04:00:00
1605330000,469.04,469.09,466.25,469.09,467.54,1232.33308083,375,2020-11-14,05:00:00
1605333600,469.53,470.64,468.82,470.32,469.69,504.04083231,216,2020-11-14,06:00:00
1605337200,470.32,470.32,465.55,467.21,467.01,2245.85464794,540,2020-11-14,07:00:00
1605340800,466.80,467.55,459.78,463.62,462.60,5274.85604732,1008,2020-11-14,08:00:00
1605344400,463.61,463.61,455.53,456.39,458.52,5299.75756307,888,2020-11-14,09:00:00
1605348000,456.13,460.19,454.31,456.85,457.42,3411.10721295,661,2020-11-14,10:00:00
1605351600,456.52,459.76,456.01,459.08,458.77,661.28932906,194,2020-11-14,11:00:00
1605355200,458.80,460.77,457.12,460.75,458.29,992.96180522,316,2020-11-14,12:00:00
1605358800,460.64,461.70,458.98,460.54,460.23,539.01541234,233,2020-11-14,13:00:00
1605362400,460.63,462.50,460.63,461.41,461.74,1757.69243213,361,2020-11-14,14:00:00
1605366000,461.24,461.42,459.00,459.12,460.16,1617.33718804,295,2020-11-14,15:00:00
1605369600,459.18,462.13,456.17,456.61,459.02,1806.77966136,481,2020-11-14,16:00:00
1605373200,456.67,460.28,451.95,459.91,455.07,5340.05423439,1186,2020-11-14,17:00:00
1605376800,460.05,460.98,459.24,460.44,460.28,905.94679420,283,2020-11-14,18:00:00
1605380400,460.32,461.48,459.48,460.64,460.65,460.11304597,304,2020-11-14,19:00:00
1605384000,460.37,461.95,458.39,461.75,460.43,1511.07559513,339,2020-11-14,20:00:00
