Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605355200,0.102457,0.103251,0.102205,0.103221,0.102706,229041.39726281,61,2020-11-14,12:00:00
1605358800,0.103117,0.103300,0.102887,0.102976,0.103046,729258.09030626,63,2020-11-14,13:00:00
1605362400,0.103350,0.103499,0.103147,0.103401,0.103344,146228.50840994,42,2020-11-14,14:00:00
1605366000,0.103439,0.103439,0.103088,0.103088,0.103270,203750.49119008,25,2020-11-14,15:00:00
1605369600,0.103121,0.103830,0.102201,0.102370,0.102892,1287726.69265399,132,2020-11-14,16:00:00
1605373200,0.102268,0.103206,0.101701,0.103206,0.102713,1201165.10581304,165,2020-11-14,17:00:00
1605376800,0.103225,0.103704,0.103218,0.103634,0.103638,442818.18837163,38,2020-11-14,18:00:00
1605380400,0.103520,0.103818,0.103461,0.103779,0.103603,391830.13604063,49,2020-11-14,19:00:00
1605384000,0.103743,0.104039,0.103374,0.103851,0.103851,312037.93238136,51,2020-11-14,20:00:00
1605387600,0.104075,0.104075,0.103346,0.103480,0.103485,12062.79381213,11,2020-11-14,21:00:00
1605391200,0.103561,0.104086,0.103561,0.103917,0.103964,29816.53240504,30,2020-11-14,22:00:00
1605394800,0.103919,0.104873,0.103919,0.104397,0.104512,509943.56034269,82,2020-11-14,23:00:00
1605398400,0.104100,0.104614,0.104100,0.104424,0.104384,268310.85784504,26,2020-11-15,00:00:00
1605402000,0.103669,0.104009,0.103633,0.103908,0.103858,35407.63088700,15,2020-11-15,01:00:00
1605405600,0.103900,0.104076,0.103298,0.103544,0.103610,41774.17515708,19,2020-11-15,02:00:00
1605409200,0.103526,0.103860,0.103209,0.103552,0.103604,156507.70699791,37,2020-11-15,03:00:00
1605412800,0.103613,0.103806,0.103608,0.103806,0.103773,7988.26857980,8,2020-11-15,04:00:00
1605416400,0.103771,0.104613,0.103771,0.104555,0.104404,26187.77386016,20,2020-11-15,05:00:00
1605420000,0.104482,0.105083,0.104482,0.104795,0.104756,143457.43121488,39,2020-11-15,06:00:00
1605423600,0.104948,0.104990,0.104691,0.104838,0.104847,14433.68267324,17,2020-11-15,07:00:00
1605427200,0.104865,0.104880,0.104250,0.104250,0.104818,57410.56574495,18,2020-11-15,08:00:00
1605430800,0.104291,0.104597,0.104291,0.104380,0.104479,23315.79475275,11,2020-11-15,09:00:00
1605434400,0.104529,0.104529,0.102950,0.103008,0.103401,258112.30685856,57,2020-11-15,10:00:00
1605438000,0.102991,0.103524,0.102682,0.102682,0.102928,204431.43928684,30,2020-11-15,11:00:00
1605441600,0.102650,0.103301,0.102300,0.103176,0.102522,456842.03744763,63,2020-11-15,12:00:00
1605445200,0.102495,0.103185,0.102412,0.103185,0.103045,39887.46635082,18,2020-11-15,13:00:00
1605448800,0.102771,0.103398,0.102624,0.103079,0.102799,60579.54367210,21,2020-11-15,14:00:00
1605452400,0.102936,0.102997,0.102664,0.102664,0.102803,75828.44581494,14,2020-11-15,15:00:00
1605456000,0.103180,0.103238,0.102400,0.102624,0.102588,8716.95432585,13,2020-11-15,16:00:00
1605459600,0.102443,0.102443,0.101438,0.101678,0.101965,271088.76196193,60,2020-11-15,17:00:00
1605463200,0.101670,0.102083,0.100873,0.101562,0.101411,630462.59483286,99,2020-11-15,18:00:00
1605466800,0.101481,0.101980,0.101050,0.101164,0.101410,495431.00558773,67,2020-11-15,19:00:00
1605470400,0.101065,0.101458,0.100666,0.101458,0.101116,624172.84512332,81,2020-11-15,20:00:00
1605474000,0.101000,0.101400,0.100810,0.100810,0.101039,153029.76377181,36,2020-11-15,21:00:00
1605477600,0.100605,0.100609,0.098558,0.100609,0.099663,1368809.74264301,287,2020-11-15,22:00:00
1605481200,0.100494,0.100870,0.100494,0.100516,0.100588,1559675.41181141,100,2020-11-15,23:00:00
1605484800,0.100500,0.100500,0.099550,0.100245,0.100099,116198.90491676,50,2020-11-16,00:00:00
1605488400,0.100673,0.100673,0.100220,0.100262,0.100489,294820.44106608,41,2020-11-16,01:00:00
1605492000,0.100281,0.100529,0.099860,0.100282,0.100284,314935.89244353,39,2020-11-16,02:00:00
1605495600,0.100283,0.101127,0.100283,0.101074,0.100871,553432.94813766,54,2020-11-16,03:00:00
1605499200,0.101237,0.101884,0.101169,0.101884,0.101404,186791.04687251,36,2020-11-16,04:00:00
1605502800,0.101645,0.101849,0.101645,0.101849,0.101680,403799.92845437,30,2020-11-16,05:00:00
1605506400,0.102000,0.102465,0.101996,0.102336,0.102279,567335.39823958,55,2020-11-16,06:00:00
1605510000,0.102527,0.102611,0.102474,0.102541,0.102530,118515.48705812,32,2020-11-16,07:00:00
1605513600,0.102635,0.103034,0.102624,0.102665,0.102785,194479.96859114,60,2020-11-16,08:00:00
1605517200,0.102755,0.102903,0.102290,0.102415,0.102440,51539.18305683,21,2020-11-16,09:00:00
1605520800,0.102508,0.103145,0.102508,0.103118,0.102752,153264.23507051,45,2020-11-16,10:00:00
1605524400,0.103075,0.103076,0.102659,0.102771,0.102814,63878.64814908,31,2020-11-16,11:00:00
1605528000,0.102597,0.102757,0.102092,0.102369,0.102405,493067.62633078,67,2020-11-16,12:00:00
1605531600,0.102412,0.102910,0.101891,0.102815,0.102421,350469.73709174,46,2020-11-16,13:00:00
1605535200,0.102818,0.104900,0.102561,0.104540,0.103969,3295364.76742720,269,2020-11-16,14:00:00
1605538800,0.104794,0.105432,0.104430,0.104583,0.104923,2369417.78854097,137,2020-11-16,15:00:00
1605542400,0.104640,0.104968,0.103678,0.103988,0.104417,1033449.54712055,120,2020-11-16,16:00:00
1605546000,0.104087,0.104871,0.103682,0.104821,0.104369,355836.13047500,91,2020-11-16,17:00:00
1605549600,0.104754,0.104927,0.104182,0.104331,0.104380,615272.57644948,77,2020-11-16,18:00:00
1605553200,0.104246,0.104524,0.104099,0.104199,0.104188,228921.51565358,54,2020-11-16,19:00:00
1605556800,0.104108,0.104338,0.103944,0.104204,0.104160,540678.11665452,109,2020-11-16,20:00:00
1605560400,0.104166,0.104331,0.103023,0.103699,0.103774,276345.49418122,71,2020-11-16,21:00:00
1605564000,0.103598,0.104013,0.103353,0.104013,0.103487,1422809.63196722,93,2020-11-16,22:00:00
1605567600,0.104153,0.104580,0.103800,0.103900,0.104051,254626.17445072,43,2020-11-16,23:00:00
1605571200,0.103697,0.106082,0.103697,0.105940,0.105093,1231310.67844016,158,2020-11-17,00:00:00
1605574800,0.105712,0.106106,0.105595,0.105642,0.105824,1020111.39796168,69,2020-11-17,01:00:00
1605578400,0.105601,0.106128,0.105230,0.105325,0.105621,1079536.03335618,108,2020-11-17,02:00:00
1605582000,0.105426,0.106645,0.105426,0.105967,0.106206,961351.18411439,92,2020-11-17,03:00:00
1605585600,0.105967,0.106695,0.105843,0.106491,0.106520,171581.39939001,45,2020-11-17,04:00:00
1605589200,0.106471,0.108700,0.106016,0.107905,0.107650,1954563.00617762,254,2020-11-17,05:00:00
1605592800,0.108075,0.109008,0.107933,0.108833,0.108602,969565.59693841,146,2020-11-17,06:00:00
1605596400,0.108792,0.108792,0.108103,0.108387,0.108413,283146.83990791,42,2020-11-17,07:00:00
1605600000,0.108333,0.108519,0.108117,0.108452,0.108316,313083.03500756,51,2020-11-17,08:00:00
1605603600,0.108541,0.109034,0.108262,0.108608,0.108624,139858.18328286,44,2020-11-17,09:00:00
1605607200,0.108433,0.110326,0.108269,0.109733,0.109602,765743.63625308,142,2020-11-17,10:00:00
1605610800,0.109710,0.112350,0.109620,0.111256,0.111146,1934357.56729212,271,2020-11-17,11:00:00
1605614400,0.111099,0.111840,0.110500,0.110500,0.111278,419075.84151935,80,2020-11-17,12:00:00
1605618000,0.110384,0.111392,0.109630,0.109841,0.110807,1451728.93941207,178,2020-11-17,13:00:00
1605621600,0.109689,0.110884,0.109689,0.110494,0.110433,334986.33556557,96,2020-11-17,14:00:00
1605625200,0.110446,0.110570,0.109065,0.109512,0.109466,530473.20115919,80,2020-11-17,15:00:00
1605628800,0.109513,0.110293,0.108806,0.109390,0.109658,459890.67684001,138,2020-11-17,16:00:00
1605632400,0.109249,0.110147,0.108851,0.109827,0.109740,1225769.11913952,190,2020-11-17,17:00:00
1605636000,0.109882,0.110173,0.109499,0.109899,0.109867,662903.66630450,115,2020-11-17,18:00:00
1605639600,0.109900,0.111073,0.109744,0.110959,0.110596,319471.91480001,113,2020-11-17,19:00:00
1605643200,0.110812,0.110918,0.109654,0.110052,0.110338,854544.19791645,127,2020-11-17,20:00:00
1605646800,0.110051,0.110085,0.109203,0.109416,0.109619,769667.59657103,108,2020-11-17,21:00:00
1605650400,0.109158,0.109437,0.107992,0.109437,0.108457,766154.11521904,178,2020-11-17,22:00:00
1605654000,0.109435,0.110035,0.109336,0.109706,0.109667,564483.21044938,86,2020-11-17,23:00:00
1605657600,0.109644,0.111680,0.109644,0.111196,0.111061,1194187.07204922,162,2020-11-18,00:00:00
1605661200,0.111000,0.111000,0.110230,0.110690,0.110568,666083.16550167,63,2020-11-18,01:00:00
1605664800,0.110312,0.110349,0.109669,0.109669,0.109907,130767.12100078,21,2020-11-18,02:00:00
1605668400,0.109375,0.111174,0.109182,0.111057,0.110457,129536.69383235,64,2020-11-18,03:00:00
