Epoch Time,Open,High,Low,Close,Volume,Date (UTC),Time (UTC)
1606982400000,19214.44,19459.85,19178.66,19400.0,83.4407995271,2020-12-03,08:00:00
1606978800000,18967.61,19264.77,18933.12,19214.44,31.3475645927,2020-12-03,07:00:00
1606975200000,18938.23,19026.71,18901.57,18967.61,19.234281521,2020-12-03,06:00:00
1606971600000,19052.23,19131.39,18884.95,18938.23,20.1885214365,2020-12-03,05:00:00
1606968000000,19104.23,19138.31,19036.98,19052.23,42.2156714834,2020-12-03,04:00:00
1606964400000,19064.13,19201.11,19038.08,19104.23,45.5505839923,2020-12-03,03:00:00
1606960800000,19031.64,19103.2,18968.94,19064.13,25.7393243213,2020-12-03,02:00:00
1606957200000,19194.42,19198.49,18958.82,19031.64,30.7594916745,2020-12-03,01:00:00
1606953600000,19270.49,19307.02,19180.0,19194.42,47.3904741625,2020-12-03,00:00:00
1606950000000,19150.04,19273.57,19108.65,19270.49,42.3361267234,2020-12-02,23:00:00
1606946400000,19159.0,19266.69,19124.1,19150.04,73.2220605857,2020-12-02,22:00:00
1606942800000,19102.18,19187.27,19055.04,19159.0,59.9069417275,2020-12-02,21:00:00
1606939200000,19132.92,19175.22,19065.0,19102.18,115.4788292371,2020-12-02,20:00:00
1606935600000,19021.45,19161.73,18989.0,19132.92,88.4529542861,2020-12-02,19:00:00
1606932000000,18990.63,19088.51,18975.85,19021.45,89.142458605,2020-12-02,18:00:00
1606928400000,18873.84,19026.09,18830.33,18990.63,84.3517545075,2020-12-02,17:00:00
1606924800000,18904.49,19022.92,18795.99,18873.84,96.7918082981,2020-12-02,16:00:00
1606921200000,18921.1,19007.66,18757.39,18904.49,128.9480515329,2020-12-02,15:00:00
1606917600000,19146.18,19182.28,18850.84,18921.1,92.0998399864,2020-12-02,14:00:00
1606914000000,18954.86,19258.11,18940.46,19146.18,65.0135635847,2020-12-02,13:00:00
1606910400000,19140.0,19140.0,18797.87,18954.86,34.0384067757,2020-12-02,12:00:00
1606906800000,19119.49,19211.88,19034.14,19140.0,18.72690197,2020-12-02,11:00:00
1606903200000,19051.69,19196.25,19011.63,19119.49,27.5770778762,2020-12-02,10:00:00
1606899600000,19198.9,19320.15,19037.2,19051.69,23.8921730362,2020-12-02,09:00:00
1606896000000,19125.7,19343.23,19078.44,19198.9,53.568567868,2020-12-02,08:00:00
1606892400000,18944.01,19129.45,18852.4,19125.7,58.7987803239,2020-12-02,07:00:00
1606888800000,18640.0,18957.27,18640.0,18944.01,52.2412759025,2020-12-02,06:00:00
1606885200000,18565.37,18665.05,18479.03,18640.0,38.5861218405,2020-12-02,05:00:00
1606881600000,18625.02,18716.68,18347.0,18565.37,103.7536993694,2020-12-02,04:00:00
1606878000000,18705.71,18808.07,18538.41,18625.02,82.7364152787,2020-12-02,03:00:00
1606874400000,18871.2,18871.2,18671.35,18705.71,27.3795710609,2020-12-02,02:00:00
1606870800000,18856.98,18978.22,18721.93,18871.2,34.5111573619,2020-12-02,01:00:00
1606867200000,18779.26,18898.38,18479.34,18856.98,79.2867800156,2020-12-02,00:00:00
1606863600000,18940.83,18966.71,18737.0,18779.26,45.0146805209,2020-12-01,23:00:00
1606860000000,19073.56,19183.39,18859.9,18940.83,50.9922294413,2020-12-01,22:00:00
1606856400000,19043.81,19225.06,18967.94,19073.56,100.4224851504,2020-12-01,21:00:00
1606852800000,19094.71,19163.65,18882.94,19043.81,133.7805995188,2020-12-01,20:00:00
1606849200000,18730.25,19150.0,18730.25,19094.71,330.9506614201,2020-12-01,19:00:00
1606845600000,19056.06,19070.98,18714.9,18730.25,347.776275584,2020-12-01,18:00:00
1606842000000,19063.15,19089.59,18617.02,19056.06,453.9791455755,2020-12-01,17:00:00
1606838400000,19290.68,19351.36,18957.58,19063.15,325.9754093141,2020-12-01,16:00:00
1606834800000,19314.13,19511.33,19193.74,19290.68,445.2196743324,2020-12-01,15:00:00
1606831200000,18802.31,19384.24,18681.37,19314.13,411.8558347902,2020-12-01,14:00:00
1606827600000,18587.27,18878.82,18107.0,18802.31,505.260091731,2020-12-01,13:00:00
1606824000000,19407.39,19494.39,18444.08,18587.27,618.6325968946,2020-12-01,12:00:00
1606820400000,19750.99,19940.4,18955.94,19407.39,513.9059001729,2020-12-01,11:00:00
1606816800000,19564.73,19827.27,19564.73,19750.99,119.0228534757,2020-12-01,10:00:00
1606813200000,19466.84,19590.29,19438.94,19564.73,10.8471244808,2020-12-01,09:00:00
1606809600000,19530.0,19578.08,19457.35,19466.84,24.9200631954,2020-12-01,08:00:00
1606806000000,19359.52,19553.34,19314.17,19530.0,20.5148013326,2020-12-01,07:00:00
1606802400000,19495.57,19528.32,19329.66,19359.52,30.8515191777,2020-12-01,06:00:00
